SPY,UST_10,UST_5,UST_2,CS_IG,CS_HY
0.006887388486672474,4.299999999999993,2.7000000000000024,0.7999999999999994,0.0,-3.0372580000000085
0.005978509681415556,8.100000000000007,4.999999999999999,1.6000000000000014,0.0,-8.735336000000018
0.014857448802034545,4.299999999999993,3.300000000000003,0.10000000000000009,-2.0,-0.22684800000001815
0.005697705091004979,3.600000000000003,2.399999999999997,-0.40000000000000036,-1.0,-0.0846939999999563
-0.0067408067985101905,3.0000000000000027,2.300000000000002,1.0999999999999983,0.0,4.86674099999999
0.00021125458818560539,-1.7000000000000126,-0.7000000000000006,-0.10000000000000009,0.0,6.07651599999997
0.0026929271061595372,-4.599999999999982,-3.0000000000000027,-0.10000000000000009,-1.0,-2.7980369999999652
-0.003501935280023294,4.599999999999982,1.4000000000000012,-0.40000000000000036,0.0,-5.698257000000012
-0.007292712572002258,-4.599999999999982,-3.299999999999997,-0.5999999999999978,1.0,1.218625999999972
0.007852009582113295,0.49999999999998934,-0.5000000000000004,-0.30000000000000027,-1.0,-4.424763999999982
0.01383863726396406,-0.8000000000000007,-0.5000000000000004,-0.40000000000000036,0.0,-2.6830079999999725
0.000911719502982633,2.6000000000000023,0.5000000000000004,-0.5000000000000004,1.0,2.4183909999999855
-0.0035394545075994044,-2.0000000000000018,-1.4000000000000012,0.0,2.0,2.548384999999996
0.003943794400334211,-5.600000000000005,-2.899999999999997,-0.5999999999999992,0.0,3.7740079999999807
-0.001560914696011828,0.5000000000000115,0.599999999999995,0.49999999999999906,0.0,1.0609029999999962
-0.0244404492039918,-1.8000000000000016,0.30000000000000027,-0.20000000000000018,2.0,8.964073000000042
0.008600197644293539,2.8999999999999915,1.6000000000000014,-0.10000000000000009,-2.0,-4.507801000000029
-0.02001959590074942,2.0000000000000018,-0.7000000000000006,-0.7999999999999994,0.0,7.377871000000027
0.01664549950009464,1.4000000000000012,0.40000000000000036,0.0,1.0,-5.542546000000016
0.014140286526858503,1.7000000000000126,1.6000000000000014,0.30000000000000027,-1.0,-5.391249000000016
0.0007862665443585382,4.0999999999999925,2.200000000000002,0.39999999999999897,-1.0,-5.797048999999959
0.011365719523372952,0.20000000000000018,-0.5000000000000004,-0.49999999999999906,-1.0,-4.163577000000032
0.003935886480747719,2.400000000000002,0.5000000000000004,-0.9000000000000008,-1.0,-4.486478999999974
0.007221892651724238,0.6000000000000005,1.5999999999999959,0.8000000000000007,-1.0,-7.611743000000047
-0.000665796010345443,-1.200000000000001,-0.5000000000000004,0.5000000000000004,0.0,-0.918139999999994
-0.0004356181934657144,-3.600000000000003,-2.2999999999999963,-0.9000000000000008,0.0,-0.9957309999999779
0.00161505332239531,4.299999999999993,1.3000000000000012,0.20000000000000018,0.0,2.1752629999999726
0.004939725115814753,4.500000000000015,2.799999999999997,0.10000000000000009,0.0,-0.4085319999999797
-0.0008659331703341211,10.499999999999998,8.199999999999996,0.9999999999999996,-2.0,-8.981870000000015
0.00022941626306383078,-4.400000000000004,-2.6999999999999913,-1.5,0.0,6.587489000000005
-0.004255969825938344,2.400000000000002,0.8000000000000007,0.10000000000000009,-1.0,2.777965999999992
